Bắp Hấp FM,Family-Mart-Mar-05-06-2.jpg,6000,0
Cá Viên Cốm Xanh Mayo,familymart-Oct-W2-2.jpg,12000,0
Cá Viên Tôm,FamilyMart-Sep-W2-4-768x768.gif,12000,0
Cánh Gà Chiên,1CanhGaChien.jpg,25000,0
Pizza Phô Mai Chiên,1Piza.jpg,14000,0
Set Khoai Tây Nghiền,familymart-Sep-W3-2.png,8000,0
Takoyaki Set,Family-Mart-Oct-02-03-2.jpg,22000,0
Bò Viên,Bò-Viên-TVS.jpg,6000,0
Chả Cá Bọc Bắp Non,FM-180413-chacabapnon.jpg,5000,0
Chả Cá Bọc Trứng Cút,FM-180508-chacaboctrungcut-s.jpg,6000,0
Chả Tôm,FamilyMart-July-W3-2.png,6000,0
Đậu Hũ Bọc Hải Sản,pimgpsh_fullsize_distr1.png,5000,0
Khoai Tây Surimi,Khoai-Tay-Surimi.jpg,6000,0
Mực Viên,Family-Mart-Nov-03-01.jpg,8000,0
Thanh Chả Heo,6.jpg,9000,0
Viên Măng Rau Củ,FamilyMart-May-W3-4-2.jpg,5000,0
Viên Mực Rau Củ,Family-Mart-Mar-04-02.jpg,6000,0
Xúc Xích HotPot,22.jpg,10000,0
Trà Sữa Táo Xanh,tra_sua_tao_xanh.jpg,35000,40000
Trà Sữa Trân Châu Đường Đen,tra_sua_duong_den_1.jpg,37000,42000
Trà Sữa Dâu,traa_sua_sau.jpg,37000,42000
Trà Sữa Đào,tra_sua_dao.jpg,35000,40000
Trà Sữa Mật Ong,tra_sua_mat_ong.jpg,37000,42000
Trà Sữa Dưa Lưới,tra_sua_dua_luoi.jpg,35000,40000
Trà Sữa Kiwi,tra_sua_kiwi.jpg,35000,40000
Trà Sữa Khoai Môn,tra_sua_khoa_mon.jpg,37000,42000
Trà Sữa Truyền Thống,tra_sua_tuyen_thong.jpg,30000,35000
Trà Sữa Hoa Hướng Dương,tra_sua_hoa_huong_duong.jpg,42000,44000
Hồng Trà Sữa,hong_tra_sua.jpg,30000,35000
Trà Sữa Gạo,tra_sua_gao_gDfHuVp.jpg,37000,42000
Trà Xanh 888,tra_sua_888.jpg,27000,29000
Bá Tước Sủi Bọt,ba_tuoc_sui_bot.jpg,27000,29000
Ôlong Sủi Bọt,oLong_sui_bot.jpg,27000,29000
Lục Trà Sủi Bọt,luc_tra_sui_bot.jpg,27000,29000
Hồng Trà Sủi Bọt,hong_tra_sua_zgUaRwf.jpg,27000,29000
Bá Tước Sữa,ba_tuoc_sua.jpg,37000,39000
Ôlong Sữa,olong_sua.jpg,37000,39000
Trà Xanh Sữa,tra_xanh_sua.jpg,37000,39000
Lục Trà Tắc Tươi,luc_tra_tac_tuoi.jpg,29000,32000
Ôlong Tắc Tươi,oLong_tac_tuoi.jpg,29000,32000
Ôlong Dâu,olong_dau.jpg,29000,32000
Ôlong Chanh Tươi,olong_chanh_tuoi.jpg,29000,32000
Lục trà đào,luc_tra_dao.jpg,37000,39000
Lục Trà Dưa Lưới,tra_sua_dua_luoi_dAvTyXv.jpg,25000,30000
Lục Trà Táo Xanh,luc_tra_tao_xanh.jpg,25000,30000
Lục Trà Kiwi,luc_tra_kiwi.jpg,25000,30000
Lục trà mật ong,luc_tra_mat_ong.jpg,30000,35000
Lục Trà Tắc Chanh Dây,luc_tra_tac_chanh_day.jpg,35000,40000
Lục Trà Dâu,luc_tra_dau.jpg,29000,32000
Lục Trà Chanh Tươi,luc_tra_chanh_tuoi.jpg,29000,32000
Matcha Macchiato,Matcha_Macchiato.jpg,55000,0
Matcha Đậu Đỏ,Matcha_dau_do.jpg,49000,55000
Lục Trà Bọt Sữa,luc_tra_bot_sua.jpg,45000,0
Hồng Trà Bọt Sữa,hong_tra_bot_sua.jpg,35000,0
Nước Ép Chanh Dây,nuoc_ep_chai_day.jpg,3700,0
Nước ép cam,nuoc_ep_cam.jpg,37000,0
Nước ép táo,nuoc_ep_tao.jpg,42000,0
Nước ép bưởi,nuoc_ep_buoi.jpg,37000,0
Nước lô hội mật ong chanh,nuoc_ep_lohoi_mat_ong_chanh.jpg,37000,0
Cà phê sữa,ca_phe_sua.jpg,37000,0
Cà phê đen,ca_phe_den.jpg,37000,0
Hạt 3Q Ngọc Trai,hat_3q_ngoc_trai.jpg,10000,0
Đào Miếng,dao_mieng.jpg,10000,0
Kem Sữa,kem_sua.jpg,10000,0
Hạt thuỷ tinh Yogurt,hat_3q_ngoc_trai_D8H3aeu.jpg,10000,0
Bánh plan trứng,banh_plan_trung.jpg,7000,0
Đậu đỏ,dau_do.jpg,10000,0
Hạt lô hội,hat_lo_hoi.jpg,7000,0
Hạt trái cây,hat_trai_cay.jpg,7000,0
Hạt Cà Phê,hat_ca_phe.jpg,7000,0
Sương Sáo,suong_sao.jpg,7000,0
Hạt Trân Châu,hat_tran_chau.jpg,7000,0
Sinh tố,sinhto.jpg,15000,17000
